RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education Level,Country,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,spoken languages
0660900YMA,Kurt,Jensen,male,62,04/07/1959,10,master,Republic of South Africa,94,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,"EN,SP,NL,GE,IT,"
5612835CHK,Joann,Woodward,female,39,11/11/1982,9,upper secondary,Italy,C,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,"EN,F,NL,GE,"
6313047ALD,Thomas,Belcher,female,44,25/12/1976,17,technical,USA,89,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,"NL,GE,IT,"
4216935AQI,Patricia,Cirrincione,female,39,22/08/1982,13,master,Brazil,C,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,"EN,F,NL,GE,IT,"
2765119WTR,Reginald,Fogg,male,54,11/09/1967,21,doctorate,Sweden,B,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,"F,SP,"
5863686WTY,Christina,Butts,female,62,11/08/1959,23,bachelor,Malta,24,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,"NL,IT,"
5170070JEI,Freida,Bailey,female,50,30/11/1971,24,technical,France,11,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,"F,NL,GE,IT,"
8127770BEB,Gloria,Twyman,female,30,18/02/1991,0,technical,Romania,55,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,"NL,GE,"
9980683KSC,Robert,Turnipseed,male,64,04/12/1957,17,master,Belgium,50,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,"F,"
9830617VWN,Sarah,Torres,female,41,03/02/1980,15,technical,Malta,E,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,"EN,SP,"
9485904QWQ,Ralph,Santiago,male,24,23/03/1997,0,doctorate,Slovakia,32,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,"F,NL,GE,IT,"
7114733TAX,Estelle,Decosta,female,25,14/12/1995,0,master,Luxembourg,36,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,"EN,F,SP,NL,"
2656264TAN,Jermaine,Jordan,male,40,16/09/1981,14,bachelor,Ireland,D,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,"F,SP,NL,GE,"
1182934QUV,Tammy,Mills,f,53,05/02/1968,12,bachelor,Republic of Cyprus,B,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,"EN,F,SP,"
3259857BMJ,Margaret,Alston,f,25,27/11/1996,0,bachelor,Luxembourg,72,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,"EN,SP,NL,GE,"
7847239EGZ,Eric,Liaw,male,27,31/12/1993,1,technical,Luxembourg,59,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,"NL,GE,IT,"
4802592IGM,Robert,Mcpherson,male,26,01/09/1995,0,upper secondary,Finland,C,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,"EN,SP,GE,"
1765391DOK,Cindy,Krausmann,female,40,22/09/1981,6,bachelor,Austria,77,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,"EN,IT,"
4695316VYL,Angela,Norsworthy,female,53,08/06/1968,-1,upper secondary,Poland,88,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,"EN,SP,NL,GE,"
2616306JHV,Susan,Eyre,female,18,09/03/2003,0,master,Latvia,69,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,"SP,NL,GE,"
0374121APU,James,Dubose,m,50,16/07/1971,24,upper secondary,Poland,D,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,"EN,F,SP,"
0795695III,Ella,Chacon,female,41,15/05/1980,15,upper secondary,Hungary,C,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,"NL,IT,"
1228068LVU,Yvette,Guerrero,female,51,05/09/1970,7,bachelor,Estonia,D,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,"EN,F,NL,GE,"
3092148WBT,Daniel,Thulin,male,47,31/12/1973,5,bachelor,USA,22,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,"EN,NL,"
7329501YOV,Maria,Parkin,female,61,07/06/1960,10,upper secondary,Slovenia,92,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,"F,GE,IT,"
0352393MUM,William,Tripp,male,40,14/12/1980,2,master,Slovenia,53,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,"EN,F,SP,IT,"
1894093ZDV,Masako,Moreno,female,55,10/03/1966,25,doctorate,Czech Republic,24,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,
3380089FKX,Bonnie,Smith,female,38,20/06/1983,12,upper secondary,Luxembourg,54,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,"NL,GE,"
0729803SDO,Paula,Young,female,40,11/01/1981,14,technical,France,45,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,"EN,GE,"
1976393BCE,Thomas,Albert,male,36,13/08/1985,5,technical,Slovenia,45,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,"EN,NL,GE,IT,"
8777119VXN,Agnes,Tremblay,female,55,13/07/1966,29,bachelor,Luxembourg,42,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,"EN,F,SP,NL,GE,"
6223858YVE,Rodrigo,Montejo,male,24,30/06/1997,0,doctorate,Romania,54,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,"EN,F,SP,IT,"
5690522QPV,Karen,Amend,female,47,14/06/1974,21,doctorate,China,55,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,"NL,"
5317886LRQ,Euna,Robinson,female,57,14/02/1964,0,doctorate,Czech Republic,A,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,"EN,F,SP,NL,"
9051176OYI,Estelle,Brereton,female,62,08/04/1959,16,bachelor,Slovakia,A,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,"F,NL,GE,"
2521215SUD,Victor,Simpson,m,25,24/02/1996,0,master,Republic of South Africa,64,YES,YES,NO,YES,YES,NO,NO,YES,NO,YES,"EN,F,SP,IT,"
9737486MDF,Anthony,Roussel,male,48,18/06/1973,17,bachelor,Czech Republic,64,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,"SP,NL,GE,"
5507584DWB,Martina,Lefebvre,female,54,08/10/1967,28,upper secondary,Finland,B,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,"NL,GE,IT,"
8908472DXX,Arnold,Hoggard,male,54,16/02/1967,28,technical,Germany,16,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,"SP,"
6314336CQE,Jennifer,Carroll,female,22,13/01/1999,-1,bachelor,Denmark,E,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,"EN,SP,NL,"
0716502WAI,Emma,Ewing,female,23,05/05/1998,0,technical,France,A,YES,NO,YES,YES,YES,NO,YES,NO,YES,YES,"EN,F,SP,GE,IT,"
3684455CCT,Oren,Leyva,male,33,20/01/1988,7,master,China,5,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,
8397881FKB,Arthur,Lantieri,male,30,12/08/1991,4,master,Czech Republic,23,YES,NO,YES,NO,YES,YES,NO,NO,YES,YES,"NL,IT,"
8813345BBV,Cheryl,Moore,female,21,12/07/2000,0,master,Austria,E,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,"EN,F,NL,GE,"
7702988AEC,Cheryle,Higa,female,31,14/03/1990,5,master,Slovenia,C,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,"F,GE,"
8335661BUO,Marie,Gregg,female,56,26/09/1965,20,upper secondary,Malta,17,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,"EN,F,SP,NL,"
4002177BXQ,Tim,Bridges,male,63,22/12/1957,29,technical,Bulgaria,77,YES,NO,YES,YES,NO,YES,NO,YES,NO,YES,"EN,F,GE,"
8173495UNH,Mildred,Twiggs,female,67,12/03/1954,15,doctorate,Republic of Cyprus,91,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,"F,SP,"
3311844DBD,Kathy,Barden,female,64,17/09/1957,2,master,Portugal,D,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,"EN,NL,GE,IT,"
9821266EBZ,Christina,Marrero,female,36,27/11/1985,10,technical,Czech Republic,90,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,"F,SP,NL,IT,"
7488463GKL,Jose,Hardaway,male,59,06/02/1962,2,upper secondary,Republic of South Africa,D,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,"SP,NL,GE,IT,"
5676953DGF,Loren,Walker,male,37,07/02/1984,11,doctorate,Lithuania,E,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,"F,SP,IT,"
6897841CCA,Elbert,Nunez,male,31,17/09/1990,5,upper secondary,Lithuania,A,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,"EN,SP,GE,IT,"
1401237SIT,Brenda,Fairhurst,female,38,30/12/1982,5,doctorate,Bulgaria,A,NO,YES,YES,NO,NO,NO,YES,NO,YES,NO,"NL,GE,IT,"
1443606UEA,Maria,Shook,female,29,11/01/1992,3,upper secondary,Greece,B,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,"EN,SP,NL,GE,IT,"
