RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education level,Country,Grade,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,Spoken languages,Intended department
0660900YMA,Kurt,Jensen,male,62,1959-04-07,10,master,Republic of South Africa,A,94,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,"EN,SP,NL,GE,IT,",
5612835CHK,Joann,Woodward,female,39,1982-11-11,9,upper secondary,EU,C,50,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,"EN,F,NL,GE,",
6313047ALD,Thomas,Belcher,female,44,1976-12-25,17,technical,USA,A,89,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,"NL,GE,IT,",
4216935AQI,Patricia,Cirrincione,female,39,1982-08-22,13,master,Brazil,C,50,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,"EN,F,NL,GE,IT,",
2765119WTR,Reginald,Fogg,male,54,1967-11-09,21,doctorate,EU,B,70,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,"F,SP,",
5863686WTY,Christina,Butts,female,62,1959-11-08,23,bachelor,EU,D,24,YES,NO,YES,YES,NO,NO,YES,YES,NO,YES,"NL,IT,",
5170070JEI,Freida,Bailey,female,50,1971-11-30,24,technical,EU,E,11,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,"F,NL,GE,IT,",
8127770BEB,Gloria,Twyman,female,30,1991-02-18,0,technical,EU,C,55,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,"NL,GE,",
9980683KSC,Robert,Turnipseed,male,64,1957-04-12,17,master,EU,C,50,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,"F,",
9830617VWN,Sarah,Torres,female,41,1980-03-02,15,technical,EU,E,10,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,"EN,SP,",
9485904QWQ,Ralph,Santiago,male,24,1997-03-23,0,doctorate,EU,D,32,YES,NO,YES,YES,NO,YES,YES,NO,NO,NO,"F,NL,GE,IT,",
7114733TAX,Estelle,Decosta,female,25,1995-12-14,0,master,EU,D,36,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,"EN,F,SP,NL,",
2656264TAN,Jermaine,Jordan,male,40,1981-09-16,14,bachelor,EU,D,30,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,"F,SP,NL,GE,",
1182934QUV,Tammy,Mills,female,53,1968-05-02,12,bachelor,Republic of Cyprus,B,70,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,"EN,F,SP,",
3259857BMJ,Margaret,Alston,female,25,1996-11-27,0,bachelor,EU,B,72,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,"EN,SP,NL,GE,",
7847239EGZ,Eric,Liaw,male,27,1993-12-31,1,technical,EU,C,59,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,"NL,GE,IT,",
4802592IGM,Robert,Mcpherson,male,26,1995-01-09,0,upper secondary,EU,C,50,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,"EN,SP,GE,",
1765391DOK,Cindy,Krausmann,female,40,1981-09-22,6,bachelor,EU,B,77,YES,YES,NO,YES,YES,NO,YES,YES,YES,NO,"EN,IT,",
4695316VYL,Angela,Norsworthy,female,53,1968-08-06,0,upper secondary,EU,A,88,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,"EN,SP,NL,GE,",
2616306JHV,Susan,Eyre,female,18,2003-09-03,0,master,EU,B,69,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO,"SP,NL,GE,",
0374121APU,James,Dubose,male,50,1971-07-16,24,upper secondary,EU,D,30,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,"EN,F,SP,",
0795695III,Ella,Chacon,female,41,1980-05-15,15,upper secondary,EU,C,50,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,"NL,IT,",
1228068LVU,Yvette,Guerrero,female,51,1970-05-09,7,bachelor,EU,D,30,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,"EN,F,NL,GE,",
