RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education level,Country,Grade,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,Spoken languages,Intended department
5612835CHK,Joann,Woodward,female,39,1982-11-11,9,upper secondary,EU,C,75,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,"EN,F,NL,GE,",
6809532DFH,Milly,Whitfield,female,67,1954-07-15,27,master,EU,B,89,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,"EN,F,SP,",
1822561SNK,Marsha,Esposito,female,52,1969-10-07,26,technical,EU,B,89,NO,NO,NO,YES,NO,YES,YES,YES,YES,NO,"EN,F,SP,",
6913890LYS,Nina,Manning,female,43,1978-07-06,6,doctorate,EU,B,85,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,"EN,F,SP,IT,",
9547160BFB,Fabiola,Tardiff,female,33,1988-11-15,7,doctorate,EU,B,85,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,"F,SP,NL,GE,IT,",
3856874ZXL,Jennifer,Blight,female,42,1979-01-22,6,doctorate,EU,C,75,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,"EN,F,NL,GE,",
8365876PAZ,Susan,Shipman,female,61,1960-04-05,19,doctorate,EU,C,75,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,"EN,F,NL,GE,",
6864220URK,Robert,Cade,male,63,1957-12-17,33,master,EU,A,95,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,"EN,SP,NL,",
2780748FVR,Mallie,Bison,female,30,1991-05-27,4,bachelor,EU,B,85,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,"EN,F,SP,IT,",
0742678YMF,Ryan,Wessel,male,57,1964-07-10,19,doctorate,EU,A,95,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,"EN,F,SP,NL,",
4516981STF,Rachael,Riddle,female,50,1971-01-07,15,doctorate,EU,C,76,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,"F,SP,NL,GE,",
9377579TSV,Gloria,Costello,female,63,1958-03-28,18,upper secondary,EU,C,74,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,"EN,F,NL,GE,IT,",
3263598VVV,Thomas,Rudisill,male,39,1982-05-26,9,technical,EU,A,95,NO,YES,NO,YES,YES,NO,YES,YES,NO,NO,"EN,F,SP,NL,",
3471238PHT,Arnoldo,Carpenter,male,43,1978-03-11,11,technical,EU,C,75,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,"EN,F,SP,",
8621545DEI,Mary,Goss,female,37,1983-12-23,11,doctorate,EU,C,75,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,"F,SP,NL,",
5273633JZX,Billie,Lynch,male,50,1971-10-26,24,doctorate,EU,A,95,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,"EN,F,SP,GE,",
7447826GGN,Aaron,Frazier,male,38,1983-10-05,7,master,EU,B,81,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,"F,SP,NL,GE,IT,",
6055987OWQ,Joan,Smith,female,65,1956-05-01,22,technical,EU,C,75,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,"EN,F,NL,",
5507564SOJ,Trisha,Matlock,female,54,1967-10-06,28,bachelor,EU,A,95,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,"EN,F,SP,NL,GE,",
8158592VSM,Dolores,Bain,female,64,1957-04-06,4,bachelor,EU,A,95,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,"F,SP,NL,",
1169103EAL,Ada,Morales,female,30,1991-08-18,4,doctorate,EU,C,79,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,"EN,F,SP,NL,GE,",
0187743YSY,Morton,Seith,male,64,1957-04-11,34,bachelor,EU,A,95,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,"EN,F,NL,GE,",
8685464NSF,Steven,Peterman,male,33,1988-03-03,7,doctorate,EU,A,95,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,"EN,SP,NL,GE,IT,",
3057897OUL,Ronald,Webster,male,41,1980-07-17,11,technical,EU,A,94,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,"EN,F,SP,NL,GE,",
7351413NHA,Shelly,Shaw,female,34,1987-06-01,8,technical,EU,C,75,NO,YES,NO,YES,YES,YES,NO,YES,YES,YES,"F,SP,NL,IT,",
5807375LPX,Rose,Groth,female,61,1960-06-01,30,doctorate,EU,B,87,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,"F,SP,NL,GE,",
3395217OVK,Gabriela,Butler,female,45,1976-10-18,19,master,EU,B,85,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,"F,SP,NL,IT,",
