RecID,First Name,Surname,Gender,Age,Date of birth,Years of experience,Education level,Country,Grade,Performance,Assembly,Machining,Welding,Additive,Painting,Control,Quality,Planning,Services,Shipping,Spoken languages,Intended department
8777119VXN,Agnes,Tremblay,female,55,1966-07-13,29,bachelor,EU,C,42,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,"EN,F,SP,NL,GE,",finance
6809532DFH,Milly,Whitfield,female,67,1954-07-15,27,master,EU,A,89,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,"EN,F,SP,",finance
6913890LYS,Nina,Manning,female,43,1978-07-06,6,doctorate,EU,B,70,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,"EN,F,SP,IT,",finance
9547160BFB,Fabiola,Tardiff,female,33,1988-11-15,7,doctorate,EU,B,70,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,"F,SP,NL,GE,IT,",finance
3856874ZXL,Jennifer,Blight,female,42,1979-01-22,6,doctorate,EU,C,50,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,"EN,F,NL,GE,",finance
8365876PAZ,Susan,Shipman,female,61,1960-04-05,19,doctorate,EU,C,50,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,"EN,F,NL,GE,",finance
3598585VHR,Christi,Mack,female,36,1984-11-12,10,master,EU,C,54,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,"EN,SP,NL,GE,IT,",finance
6864220URK,Robert,Cade,male,63,1957-12-17,33,master,EU,A,90,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,"EN,SP,NL,",finance
2780748FVR,Mallie,Bison,female,30,1991-05-27,4,bachelor,EU,B,70,NO,NO,NO,YES,YES,YES,NO,YES,YES,NO,"EN,F,SP,IT,",finance
0742678YMF,Ryan,Wessel,male,57,1964-07-10,19,doctorate,EU,A,90,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,"EN,F,SP,NL,",finance
4516981STF,Rachael,Riddle,female,50,1971-01-07,15,doctorate,EU,B,76,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,"F,SP,NL,GE,",finance
8621545DEI,Mary,Goss,female,37,1983-12-23,11,doctorate,EU,C,50,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,"F,SP,NL,",finance
7028184PWJ,Pauline,Corney,female,65,1956-08-03,5,doctorate,EU,C,56,NO,NO,YES,NO,YES,NO,NO,YES,YES,NO,"F,SP,NL,GE,IT,",finance
5273633JZX,Billie,Lynch,male,50,1971-10-26,24,doctorate,EU,A,90,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,"EN,F,SP,GE,",finance
0998148EDF,Johnny,Lybarger,male,55,1966-11-23,9,bachelor,EU,B,65,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,"EN,SP,NL,GE,IT,",finance
7447826GGN,Aaron,Frazier,male,38,1983-10-05,7,master,EU,A,81,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,"F,SP,NL,GE,IT,",finance
5507564SOJ,Trisha,Matlock,female,54,1967-10-06,28,bachelor,EU,A,90,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,"EN,F,SP,NL,GE,",finance
8158592VSM,Dolores,Bain,female,64,1957-04-06,4,bachelor,EU,A,90,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,"F,SP,NL,",finance
1169103EAL,Ada,Morales,female,30,1991-08-18,4,doctorate,EU,B,79,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,"EN,F,SP,NL,GE,",finance
0187743YSY,Morton,Seith,male,64,1957-04-11,34,bachelor,EU,A,90,NO,YES,NO,NO,NO,YES,NO,YES,NO,YES,"EN,F,NL,GE,",finance
8685464NSF,Steven,Peterman,male,33,1988-03-03,7,doctorate,EU,A,90,YES,YES,NO,YES,YES,NO,YES,YES,NO,NO,"EN,SP,NL,GE,IT,",finance
3368985HEG,Mercedes,Drennon,female,57,1964-10-15,31,master,EU,C,42,NO,YES,NO,NO,NO,YES,NO,YES,YES,YES,"EN,F,NL,IT,",finance
5807375LPX,Rose,Groth,female,61,1960-06-01,30,doctorate,EU,A,87,YES,NO,YES,YES,NO,NO,YES,YES,NO,NO,"F,SP,NL,GE,",finance
3395217OVK,Gabriela,Butler,female,45,1976-10-18,19,master,EU,B,70,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,"F,SP,NL,IT,",finance
9048407MCI,Ronald,Wiest,male,39,1982-11-27,13,master,EU,C,50,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,"EN,F,SP,NL,",finance
7231482WRJ,Lance,Dickson,male,50,1971-11-06,21,bachelor,EU,A,83,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,"F,SP,NL,",finance
3131893RSW,Charles,Bahena,male,59,1962-12-06,19,bachelor,EU,A,90,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,"EN,F,SP,NL,IT,",finance
8909118VXA,Martha,Joiner,female,50,1971-01-08,24,bachelor,EU,A,83,NO,YES,NO,YES,YES,YES,YES,YES,YES,NO,"EN,F,SP,",finance
